"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
9,"Italy",3,"Alessandro","Costacurta","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
10,"Italy",4,"Angelo","Domenghini","West Germany",3,"Berti","Vegts","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
3,"France",2,"Laurent","Blanc","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
7,"Argentina",2,"Diego","Maradona","England",1,"Peter","Shilton","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
1,"Chelsea",4,"Florent","Malouda","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Alessandro","Del Piero","Brazil",3,"","Cafu","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
4,"Brazil",1,"Carlos","Alberto Torres","England",0,"Geoff","Hurst","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
3,"France",2,"Lilian","Thuram","Portugal",1,"Jorge","Costa","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Mario","Basler","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
