"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
4,"Brazil",1,"Wilson","Piazza","England",0,"Alan","Mullery","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
6,"Milan",3,"","Cafu","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Hannes","Lohr","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Harry","Kewell","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
6,"Milan",3,"","Dida","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
2,"Liverpool",5,"Michael","Owen","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
9,"Italy",3,"Attilio","Lombardo","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Ivan","Tomic","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
